file1
z,Gradacion
m,%
7.75127768313,7.59493670886
12.0442930153,16.9620253165
6.20102214651,3.54430379747
20.3918228279,27.0886075949
18.8415672913,25.5696202532
16.933560477,23.2911392405
16.6950596252,33.164556962
15.0255536627,44.0506329114
30.528109029,41.2658227848
45.0766609881,53.9240506329
47.8194207836,58.7341772152
49.727427598,78.9873417722
