07072019
z,Su
m,kPa
65.9523809524,-2310.0
62.9761904762,-3360.0
52.8571428571,-6230.0
45.2380952381,-4620.0
32.619047619,-4480.0
31.7857142857,-3780.0
36.6666666667,-4760.0
35.5952380952,-2450.0
29.5238095238,-8820.0
27.7380952381,-10920.0
27.619047619,-14000.0
27.8571428571,-15120.0
